SampleName,Latitude,Longitude,Northing,Easting,Temperature,Conductivity,pH,Eh
MXNCLJD0005,-31.1407524643564,145.531282860142,6553870.82408019,359986.540567587,22.52,48710,NA,NA
MXNCLJD0006,-31.108229788069,145.509226181044,6557447.70313208,357835.151896323,21.85,24160,6.48,-77
MXNCLJD0007,-30.6644737103772,145.204164223159,6606206.40029062,327947.687193254,23.08,32010,8.26,-176
MXNCLJD0008,-31.1481837530455,145.382409042145,6552849.33373528,345804.678593573,20.2,3894,7.22,81
MXNCLJD0009,-31.2091023695656,145.377814421212,6546090.1610885,345465.652053204,22.95,3836,7.01,-78
MXNCLJD0010,-31.0937383218005,145.446093642936,6558971.34878731,351791.447819112,13.49,2,6.07,208
MXNCLJD0011,-30.7381384528677,145.081448934353,6597846.2040337,316328.393884048,NA,NA,NA,NA
MXNCLJD0012,-30.7677046200904,145.115266496872,6594623.75390158,319621.616601261,23.7,2778,6.8,-81
MXNCLJD0013,-30.9383158197773,145.129021394921,6575733.44649323,321255.085758147,12.39,6537,7.48,79
MXNCLJD0014,-30.9981496012137,145.141287560011,6569120.35856382,322537.893494646,23.74,7298,7.12,-56
MXNC,NA,NA,NA,NA,23.44,10470,8.53,-18
MXNCLJD0016,-31.0278563734572,145.288478431964,6566053.00191608,336643.822740712,23.24,13010,6.62,134
MXNCLJD0017,-31.0450125924466,145.246826335688,6564089.24565431,332697.771627416,NA,NA,NA,NA
